"","Year","est","se","lo","hi"
"1",1980,72292.0706428611,1.32838577585305,41436.1733568928,126125.147532791
"2",1981,40639.3257031834,1.28964319297244,24684.8285126267,66905.6620249407
"3",1982,35645.2355893028,1.29166952029076,21584.8346390722,58864.6075572396
"4",1983,49157.5028132872,1.29232270625096,29737.6545981097,81259.2692831916
"5",1984,25085.3360602348,1.35619607462397,13806.1511086837,45579.2552392911
"6",1985,53757.6830425284,1.28630928170952,32819.1621609703,88054.9135266378
"7",1986,38581.0125372877,1.28108662000694,23742.346830442,62693.6561508666
"8",1987,52008.4618211485,1.28442269909867,31842.7303635779,84944.9802236725
"9",1988,132868.350747737,1.28965511771802,80704.4151682704,218748.857712613
"10",1989,38082.6846595477,1.28747206032099,23208.410377899,62489.8839370592
"11",1990,50533.2641682339,1.28629460241969,30851.3386883819,82771.4743042306
"12",1991,35835.1460150083,1.28959082861773,21768.4427567246,58991.7112706776
"13",1992,45309.8248319562,1.28533293081257,27702.9275231931,74106.9774876242
"14",1993,122440.690316284,1.28881502045683,74465.6841232496,201323.909417325
"15",1994,95940.9577765458,1.29165464679236,58097.9873598506,158433.498256464
"16",1995,40038.1261578554,1.28252182492709,24585.0274542339,65204.3830016661
"17",1996,47447.5241796141,1.28148140782774,29181.0764337292,77148.2010229382
"18",1997,34664.8671127299,1.28470998003069,21214.6302338236,56642.6564450491
"19",1998,75174.8080587532,1.29014924505718,45627.0095565492,123857.597103013
"20",1999,82483.9092530063,1.29457340935417,49728.4561723345,136814.930712513
"21",2000,32749.3440478644,1.29157230429763,19834.1644280646,54074.3493105167
"22",2001,26598.1543850148,1.29640759403273,15991.2382162452,44240.5901983491
"23",2002,49598.181035215,1.28799740257634,30202.043807387,81450.7646466058
"24",2003,39313.5753256573,1.28452976785294,24066.2198177219,64221.0208579584
"25",2004,69043.6176971111,1.28689793002023,42113.471617395,113194.68477958
"26",2005,66185.7309757079,1.2843109299881,40529.8254608122,108082.157645221
"27",2006,111283.602408659,1.29042598595786,67514.6915549704,183427.338255193
"28",2007,86123.1090232358,1.29415539998012,51955.3568578051,142760.83076723
"29",2008,99136.3549737589,1.30132161653627,59162.0431921272,166120.308684521
"30",2009,81247.3293398882,1.28055709362512,50039.2771815171,131918.942412352
"31",2010,50812.7687358687,1.28520128748527,31073.725622696,83090.6952695448
"32",2011,69051.9250006539,1.28716511828812,42101.4045977635,113254.376946588
"33",2012,51603.3114220896,1.28838700557801,31404.4156222718,84793.8640780391
"34",2013,73116.6593301655,1.2866322553324,44615.8930395685,119823.800609846
"35",2014,111658.926792892,1.29126146145073,67656.517003626,184279.600616629
"36",2015,30504.6641582247,1.29008351224651,18516.516874541,50254.296837301
"37",2016,56273.1626846417,1.29832294468463,33734.5757296144,93870.1249398625
"38",2017,16223.2073992773,1.2979183980394,9731.4132891514,27045.6562165923
"39",2018,74673.6408715731,1.30587479721694,44259.2940084672,125988.287114338
"40",2019,45332.0874762908,1.3487510747462,25219.9407731403,81483.0682372853
