"","Year","est","se","CV","lo","hi"
"1",1980,72292.0706428723,1.32838577585299,0.28978627066575,41436.1733569027,126125.1475328
"2",1981,40639.3257031858,1.28964319297241,0.258536070051922,24684.8285126291,66905.6620249422
"3",1982,35645.2355893042,1.2916695202907,0.260184482222432,21584.8346390751,58864.6075572366
"4",1983,49157.5028132861,1.29232270625098,0.260715506706013,29737.6545981084,81259.2692831916
"5",1984,25085.336060234,1.35619607462414,0.311893573041786,13806.1511086798,45579.255239301
"6",1985,53757.683042527,1.28630928171017,0.255820441658094,32819.162160937,88054.9135267226
"7",1986,38581.0125372869,1.28108662000715,0.251557487770369,23742.3468304337,62693.656150886
"8",1987,52008.4618211471,1.28442269909902,0.254281787421669,31842.7303635598,84944.9802237161
"9",1988,132868.350747737,1.28965511771859,0.258545775491179,80704.4151682009,218748.857712803
"10",1989,38082.6846595481,1.28747206032114,0.256768076420522,23208.4103778941,62489.8839370737
"11",1990,50533.2641682307,1.28629460241993,0.25580847500109,30851.3386883688,82771.4743042551
"12",1991,35835.1460150086,1.28959082861769,0.258493450535458,21768.4427567262,58991.7112706741
"13",1992,45309.8248319531,1.2853329308127,0.255024328035123,27702.9275231858,74106.9774876335
"14",1993,122440.690316283,1.28881502045711,0.257861892003486,74465.6841232164,201323.90941741
"15",1994,95940.9577765463,1.29165464679288,0.260172388496343,58097.9873598053,158433.498256589
"16",1995,40038.1261578551,1.2825218249275,0.252730046110203,24585.0274542184,65204.3830017063
"17",1996,47447.5241796152,1.28148140782776,0.251880110644525,29181.0764337292,77148.2010229418
"18",1997,34664.8671127299,1.28470998003071,0.254516178399142,21214.630233823,56642.6564450506
"19",1998,75174.8080587489,1.29014924505729,0.25894789222493,45627.0095565393,123857.597103025
"20",1999,82483.9092529893,1.29457340935416,0.262544008634143,49728.4561723256,136814.930712481
"21",2000,32749.344047868,1.29157230429772,0.260105433786883,19834.1644280642,54074.3493105296
"22",2001,26598.1543850173,1.29640759403274,0.264032681585644,15991.2382162464,44240.5901983542
"23",2002,49598.181035216,1.28799740257649,0.257196042148078,30202.0438073808,81450.7646466261
"24",2003,39313.5753256584,1.28452976785304,0.254369148080174,24066.219817719,64221.0208579697
"25",2004,69043.617697107,1.28689793002058,0.256300241610511,42113.4716173701,113194.684779634
"26",2005,66185.7309757057,1.28431092998833,0.254190586736683,40529.8254607971,108082.157645254
"27",2006,111283.602408661,1.29042598595836,0.259173060009042,67514.69155492,183427.338255334
"28",2007,86123.1090232374,1.29415539998085,0.262204560074498,51955.3568577488,142760.83076739
"29",2008,99136.3549737562,1.30132161653716,0.268014702194798,59162.0431920463,166120.308684739
"30",2009,81247.3293398856,1.280557093626,0.251124657444569,50039.2771814479,131918.942412525
"31",2010,50812.7687358659,1.28520128748591,0.254916957569326,31073.7256226639,83090.6952696216
"32",2011,69051.925000652,1.28716511828891,0.256517978338043,42101.4045977118,113254.376946721
"33",2012,51603.3114220888,1.28838700557846,0.257513358927263,31404.4156222502,84793.8640780948
"34",2013,73116.6593301625,1.28663225533264,0.256083710401852,44615.8930395503,119823.800609885
"35",2014,111658.926792881,1.29126146145072,0.259852656050709,67656.5170036202,184279.600616609
"36",2015,30504.6641582249,1.29008351224677,0.258894404910527,18516.5168745339,50254.296837321
"37",2016,56273.1626846429,1.29832294468566,0.265585855743591,33734.5757295622,93870.1249400118
"38",2017,16223.2073992788,1.29791839804006,0.265257922057032,9731.4132891425,27045.656216622
"39",2018,74673.6408715726,1.3058747972176,0.271696185768135,44259.294008423,125988.287114462
"40",2019,45332.0874762923,1.34875107474649,0.306000303716366,25219.9407731302,81483.0682373231
