"Year","est","se","CV","lo","hi","relSSB","est.adj","lo.adj","hi.adj","relSSB.adj"
1980,57840.1273778652,1.08897352658716,0.0853905794784567,48941.426406081,68356.8212199061,3.00187088113696,59190.7724773505,50084.2748183149,69953.0453256019,3.07196862086716
1981,52807.0633545866,1.09150081406083,0.0877216997791289,44480.1477104739,62692.821037523,2.7406576193529,54040.1796109208,45518.8192392736,64156.7830885409,2.8046556765972
1982,41948.7201642936,1.0866949234421,0.0832847926915565,35640.9313889542,49372.8714386957,2.17711556441603,42928.2794406666,36473.1952774326,50525.794675198,2.22795415349592
1983,35077.4605368423,1.08313601993516,0.079988056819871,29995.127788335,41020.9366799977,1.82050095916757,35896.5666198384,30695.554536898,41978.8309588464,1.86301211553215
1984,23409.7903090847,1.07800902975076,0.0752219317457187,20204.9973169329,27122.9079479285,1.21495527496463,23956.440532629,20676.811295366,27756.2644836833,1.24332612168674
1985,17689.9439640363,1.08190969337007,0.0788498615549065,15160.4923406781,20641.4218231615,0.918098387433828,18103.0280495728,15514.5103142547,21123.4269032978,0.939537224864664
1986,12416.9181020174,1.08821542033372,0.0846903980080313,10520.9264033033,14654.589267329,0.644431237856726,12706.8699113493,10766.6042455361,14996.7937208147,0.659479577700105
1987,10851.631641609,1.0840296041933,0.0808167083346869,9264.36517943383,12710.8449423586,0.56319372924197,11105.031897843,9480.70061984009,13007.6603404222,0.576345063530917
1988,9259.87570328986,1.08798081544321,0.0844736323420165,7849.26245290798,10923.9942675902,0.480582469244199,9476.10630836419,8032.55333325711,11179.0842888818,0.49180471902838
1989,8287.57853602691,1.08894817805501,0.0853671746308079,7012.85489814012,9794.0081448184,0.430120779643295,8481.10468895458,7176.61453234174,10022.7114638602,0.440164680816209
1990,9727.81566346437,1.08552036248087,0.0821978048885855,8282.59042374626,11425.2175637028,0.50486829647607,9954.97329865974,8476.00009751469,11692.0118259657,0.516657653129214
1991,11278.8179519081,1.07889120493688,0.0760434409555686,9719.15649752015,13088.762839115,0.585364464401833,11542.1935854923,9946.1119294947,13394.4031305253,0.599033515302986
1992,14126.5392913103,1.08244193842268,0.0793439957845545,12094.9474166552,16499.3782506349,0.73315963972185,14456.4130646139,12377.380775595,16884.661018655,0.75027990759508
1993,14771.5642036586,1.08607449231757,0.0827107481333651,12564.434153343,17366.4095302495,0.766636078826776,15116.5001799068,12857.8306617247,17771.938649756,0.784538066770051
1994,13879.7036706898,1.08922122077394,0.0856192558740782,11739.077960079,16410.6733630436,0.720349006420037,14203.8134988487,12013.2012865315,16793.8847521238,0.737170128702224
1995,15870.4791294342,1.09581223611845,0.0916876800294463,13265.041838249,18987.6602628984,0.823669160634872,16241.0762535141,13574.7984823908,19431.0477768511,0.842902948073495
1996,16648.5866463665,1.09460211917809,0.0905758856913994,13945.5763173452,19875.5096967078,0.86405251391163,17037.3536319641,14271.2243607783,20339.6296941666,0.884229307195445
1997,15797.492206139,1.09844313077058,0.0941011654814308,13142.1241912803,18989.3776965373,0.819881179354811,16166.3849869758,13449.0105423393,19432.8053148852,0.839026512314082
1998,16468.5806806499,1.09229469798896,0.0884529940416468,13851.9684738204,19579.4662792986,0.854710303038101,16853.1442838122,14175.4306476701,20036.6732630923,0.874668943079406
1999,18258.6120207265,1.09641674670804,0.0922426769857892,15244.6306203246,21868.4808590212,0.947611947617725,18684.975273492,15600.6133363773,22379.1394250452,0.969739966543102
2000,24827.2785779851,1.09960258616299,0.0951632292637407,20611.4491563823,29905.4063065727,1.28852213851884,25407.0290672232,21092.7543342649,30603.7379373489,1.3186108708724
2001,25439.3170623513,1.09817244531708,0.0938530783720848,21173.4998282766,30564.5669278809,1.32028660010709,26033.3594768856,21667.9296485152,31278.2908494992,1.35111707554331
2002,19867.8622809849,1.0994065363255,0.09498371470593,16499.938539633,23923.2376937668,1.03113115332716,20331.8037009572,16885.2343911579,24481.8776072618,1.05520945851604
2003,14072.4093191132,1.10033758431382,0.0958359918342704,11667.5345982197,16972.9690859354,0.730350323859289,14401.0190844521,11939.9872905385,17369.3108396434,0.747404990412557
2004,12348.6355254592,1.11005345233814,0.10469335677095,10063.4426860071,15152.746838084,0.640887409591622,12636.9928443986,10298.4376655134,15506.5839437131,0.655852996258328
2005,11387.6763480633,1.11480417054561,0.109000451885428,9202.96116123636,14091.0268267196,0.591014155445054,11653.5939722337,9417.86273487872,14420.071336008,0.604815134263157
2006,12473.9282157323,1.10680919853239,0.101743116232217,10224.0324324763,15218.9350101226,0.647390031484082,12765.2112882235,10462.7773994728,15574.3176989698,0.662507463155131
2007,15216.5130722617,1.10013195361897,0.0956478116239584,12620.7414299774,18346.1701804888,0.789728681018479,15571.8392055885,12915.4527893233,18774.5780345504,0.808169912414329
2008,20173.5507635865,1.10065722841343,0.09612845010443,16716.5152554645,24345.5136547053,1.04699621788045,20644.6304225238,17106.8684658363,24914.0142822604,1.07144499375575
2009,24218.6004297628,1.14225442190547,0.133594256875381,18661.0441506229,31431.2855187648,1.25693207653304,24784.1374620925,19096.8047371905,32165.2484901653,1.28628313827025
2010,27108.2056036214,1.16181734232301,0.150832924666626,20203.7935167199,36372.1204357029,1.40690099988483,27741.218819778,20675.579384792,37221.4585760468,1.43975403854676
2011,30057.5194449187,1.17325627863257,0.160808312168908,21975.8447052263,41111.2513443822,1.55996877032188,30759.403122936,22489.0103620765,42071.2545926332,1.59639614817361
2012,27390.0044090933,1.17642156386793,0.16355548232207,19920.0860200925,37661.09949392,1.42152620330043,28029.598007986,20385.246934912,38540.5370363097,1.45472076021651
2013,24803.0491031122,1.17850703440395,0.165362418095648,17976.1453503051,34222.6452236022,1.28726464206467,25382.2338013851,18395.9126247858,35021.7902144269,1.31732401017752
2014,31362.9501337442,1.17880487670274,0.165620283684619,22719.2143906867,43295.2752756693,1.62771990694244,32095.3173816033,23249.738733769,44306.2784326978,1.66572936534636
2015,36079.3192920221,1.17168598737694,0.159443356124087,26447.8754301022,49218.2173201745,1.87249687896454,36921.8201301717,27065.4690447929,50367.5291741166,1.91622221028777
2016,44847.9769313414,1.16830520455744,0.156499906075146,33062.4414106105,60834.6192543617,2.32758540015969,45895.2377692788,33834.4940753034,62255.189783852,2.38193766314524
2017,48389.2768758847,1.17126974442194,0.159081308380873,35496.3772914779,65965.1010959136,2.51137692460513,49519.2318507948,36325.2656465295,67505.4753061949,2.57002096793545
2018,45856.7437030624,1.17689134656303,0.163962732055486,33324.4104820254,63102.1198164206,2.37993984222557,46927.5606076703,34102.58047838,64575.6395467696,2.435514652149
2019,33959.1346886859,1.18445045086225,0.170498869893986,24370.5956437701,47320.256166948,1.76246046113629,34752.1263525941,24939.6819696483,48425.248064368,1.803616293476
