"Year","est","lo","hi","relF"
1980,0.361889465750888,0.273046237328153,0.479640322836853,1.32072994062529
1981,0.252638668088963,0.192119409849581,0.332222010590902,0.922014826854547
1982,0.445371013529507,0.335639925883368,0.590976592460656,1.62539915616101
1983,0.535229388733278,0.389094696618617,0.736248787386046,1.95334085598727
1984,0.701621320321523,0.52803957883923,0.932264354524071,2.56059480152859
1985,0.819443817049726,0.571123857106781,1.17573125504277,2.99059267058865
1986,0.441329367530927,0.333623217049467,0.583807123400436,1.61064900898926
1987,0.530817122418468,0.410965815721241,0.685621058184911,1.93723811529021
1988,0.521583441947809,0.394590850584235,0.689446515324227,1.90353943264284
1989,0.366461284284073,0.269605241669824,0.498112989374284,1.33741497346358
1990,0.429632567493389,0.292582723710382,0.630878476726722,1.56796107391209
1991,0.406632383921154,0.312729446754736,0.528731455797571,1.48402099286912
1992,0.458249406863117,0.354308346132746,0.592682958734824,1.67239936277812
1993,0.500115242177625,0.368238539675201,0.679220745549867,1.82519038717124
1994,0.588054320792633,0.422992546351455,0.817527134191061,2.14612753806856
1995,0.397954061316884,0.274809895367645,0.576279957847717,1.45234911075428
1996,0.288378315900092,0.205144789423768,0.405382234250101,1.05244808728013
1997,0.355651067450103,0.235467809541188,0.537176109230646,1.29796265890767
1998,0.295311584424538,0.213159781592116,0.409124700935406,1.0777513254046
1999,0.233265206835744,0.160599535382689,0.338809552533659,0.851310612578566
2000,0.192347652057352,0.140538144967643,0.263256778154388,0.701980375565816
2001,0.231973941988074,0.166516250152865,0.323163112981982,0.846598090366691
2002,0.268558115758339,0.185199203585964,0.389437212164857,0.980113481733977
2003,0.251484962708323,0.172205859844687,0.367262104352588,0.917804333366679
2004,0.242937360431285,0.158866581865349,0.37149764538487,0.886609520264237
2005,0.158514009397037,0.109015441421326,0.230487450654019,0.578503156439867
2006,0.165129785762297,0.109537372257516,0.248936464185,0.602647694352708
2007,0.111135357926111,0.0718825952921355,0.171822785907621,0.405592891107146
2008,0.139578729326885,0.0880611589653787,0.221235126920908,0.509398101748968
2009,0.136470539858353,0.0850448835029211,0.21899269517596,0.498054641160224
2010,0.135480147048726,0.0811131992950732,0.226287095119665,0.494440163369501
2011,0.0667188083005907,0.043104966775935,0.103268827562028,0.243492933795665
2012,0.0691902358846309,0.046058952045531,0.103938290585475,0.252512506663188
2013,0.0658491998756066,0.0428569173728435,0.101176598553147,0.240319263401271
2014,0.0497087218702374,0.0322600746490258,0.0765948949856888,0.181413949555056
2015,0.0484014985869868,0.0312591889891001,0.0749445248334168,0.176643186400375
2016,0.035446620793837,0.0226108313472561,0.0555690724682069,0.129363846718428
2017,0.0338028332685308,0.0214841280565905,0.0531849155790885,0.123364779030194
2018,0.0309627157811664,0.0201677771108866,0.0475357181544705,0.112999657755739
2019,0.0435099198692903,0.0285431668299385,0.0663245651161035,0.158791176102196
2020,0.0384133347368489,0.024802002407014,0.0594945626320842,0.140190986772578
2021,0.0526215616154916,0.0338532899076711,0.0817949674730289,0.192044473590395
