"Year","SSB","SSB.CV","F","F.CV","Rect","Rect.CV","prev.SSB","prev.SSB.CV","prev.F","prev.F.CV","prev.Rect","prev.Rect.CV"
1980,58291,0.089,0.362,0.144,71115,0.297,57879,0.085,0.366,0.142,72292,0.29
1981,53754,0.091,0.253,0.14,40600,0.264,52832,0.088,0.258,0.138,40639,0.259
1982,42154,0.087,0.445,0.145,35326,0.265,41964,0.083,0.45,0.142,35645,0.26
1983,35501,0.084,0.535,0.164,49601,0.266,35076,0.08,0.546,0.16,49158,0.261
1984,23369,0.079,0.702,0.146,26269,0.324,23413,0.075,0.702,0.143,25085,0.312
1985,17858,0.082,0.819,0.186,55958,0.262,17699,0.079,0.815,0.178,53758,0.256
1986,12500,0.089,0.441,0.143,39203,0.257,12427,0.085,0.447,0.141,38581,0.252
1987,10871,0.084,0.531,0.131,53146,0.26,10857,0.081,0.532,0.128,52008,0.254
1988,9256,0.088,0.522,0.143,136525,0.265,9270,0.084,0.519,0.139,132868,0.259
1989,8264,0.089,0.366,0.158,38595,0.262,8288,0.085,0.367,0.154,38083,0.257
1990,9744,0.086,0.43,0.198,51665,0.262,9720,0.082,0.424,0.192,50533,0.256
1991,11216,0.08,0.407,0.135,36206,0.264,11282,0.076,0.402,0.132,35835,0.258
1992,14159,0.083,0.458,0.132,46153,0.26,14131,0.079,0.458,0.129,45310,0.255
1993,14924,0.086,0.5,0.157,122755,0.264,14778,0.083,0.502,0.152,122441,0.258
1994,13916,0.089,0.588,0.169,99211,0.266,13873,0.086,0.593,0.165,95941,0.26
1995,16098,0.095,0.398,0.191,40804,0.259,15873,0.092,0.404,0.185,40038,0.253
1996,16802,0.094,0.288,0.175,47308,0.258,16667,0.091,0.297,0.174,47448,0.252
1997,15821,0.098,0.356,0.213,34903,0.26,15804,0.094,0.359,0.208,34665,0.255
1998,16556,0.092,0.295,0.167,76869,0.265,16480,0.088,0.3,0.165,75175,0.259
1999,18326,0.096,0.233,0.192,85878,0.268,18281,0.092,0.236,0.188,82484,0.263
2000,25213,0.099,0.192,0.161,33602,0.265,24835,0.095,0.197,0.159,32749,0.26
2001,25959,0.097,0.232,0.17,27288,0.27,25447,0.094,0.24,0.169,26598,0.264
2002,20301,0.098,0.269,0.191,50850,0.263,19878,0.095,0.28,0.19,49598,0.257
2003,14185,0.099,0.251,0.195,39719,0.26,14072,0.096,0.259,0.194,39314,0.254
2004,12539,0.108,0.243,0.219,70185,0.262,12362,0.105,0.247,0.215,69044,0.256
2005,11463,0.113,0.159,0.193,66349,0.26,11391,0.109,0.162,0.19,66186,0.254
2006,12506,0.106,0.165,0.212,111732,0.265,12473,0.102,0.166,0.208,111284,0.259
2007,15005,0.1,0.111,0.225,87354,0.267,15236,0.096,0.107,0.217,86123,0.262
2008,19746,0.1,0.14,0.238,101366,0.274,20170,0.096,0.132,0.231,99136,0.268
2009,22919,0.142,0.136,0.245,82988,0.254,24218,0.134,0.125,0.237,81247,0.251
2010,25261,0.159,0.135,0.266,50800,0.26,27090,0.151,0.12,0.261,50813,0.255
2011,27743,0.169,0.067,0.226,69972,0.26,30044,0.161,0.06,0.218,69052,0.257
2012,24912,0.171,0.069,0.21,52198,0.261,27393,0.164,0.063,0.201,51603,0.258
2013,22405,0.173,0.066,0.222,72728,0.26,24817,0.165,0.059,0.212,73117,0.256
2014,28879,0.173,0.05,0.223,109625,0.264,31379,0.166,0.045,0.214,111659,0.26
2015,33670,0.167,0.048,0.226,30445,0.263,36064,0.159,0.043,0.217,30505,0.259
2016,42213,0.164,0.035,0.232,57866,0.269,44832,0.156,0.032,0.223,56273,0.266
2017,44627,0.167,0.034,0.234,16491,0.266,48374,0.159,0.03,0.223,16223,0.265
2018,40737,0.172,0.031,0.221,69287,0.268,45864,0.164,0.027,0.209,74674,0.272
2019,27395,0.175,0.044,0.218,45830,0.269,33864,0.17,0.034,0.209,45332,0.306
2020,17914,0.188,0.038,0.226,62731,0.337,NA,NA,NA,NA,NA,NA
2021,12559,0.184,0.053,0.228,79006,0.313,NA,NA,NA,NA,NA,NA
