"Year","est","se","CV","lo","hi","relSSB","est.adj","lo.adj","hi.adj","relSSB.adj"
1980,58290.523568605,1.09295011324559,0.0890563890161523,48971.4181887472,69383.0251108156,3.30295691110768,51353.8320158517,43143.7192407969,61126.3031820065,2.90989828164756
1981,53754.3503047134,1.09551024778591,0.0914103277106643,44953.8417952234,64277.7137901676,3.04592053684491,47357.4726502592,39604.2426570766,56628.5343527282,2.68344976175533
1982,42154.0308245514,1.09123927957366,0.0874806834655877,35523.6263783871,50021.9852508738,2.38860347993148,37137.61491964,31296.2421667476,44069.2666733283,2.1043547793238
1983,35500.936849648,1.08712653200137,0.0836839628164254,30139.2287173882,41816.4820679563,2.01161453937423,31276.2527383457,26552.5988425622,36840.2351556214,1.7722282939196
1984,23368.7488021993,1.08177167423454,0.0787216901298621,20032.3040370562,27260.8891902852,1.32415983996643,20587.8198880192,17648.4188754744,24016.78760756,1.16658211010474
1985,17858.290818128,1.08570196810939,0.0823659376676619,15200.1667400202,20981.2534559348,1.01191688575046,15733.1176770955,13391.3158021513,18484.4413721891,0.891496706212834
1986,12499.9689640152,1.0927021192565,0.0888281152098907,10506.2280158473,14872.0572088918,0.708294528007333,11012.4470854321,9255.96538880033,13102.2519764587,0.624006030177883
1987,10871.4544916112,1.08798991050102,0.084482036577391,9215.18864474679,12825.404592292,0.616016867726327,9577.72916678466,8118.56234401012,11299.1552081827,0.542709600247737
1988,9255.61246219045,1.09228148794727,0.0884408292523315,7785.21801979416,11003.7203624158,0.52445727498992,8154.17564448078,6858.76114879541,9694.25512838003,0.462045786355393
1989,8263.82043459188,1.0933634041727,0.0894367158243254,6937.51255496209,9843.69075142547,0.468258666170037,7280.40889712925,6111.93436847545,8672.27141423315,0.412534926953622
1990,9744.12330391145,1.08966402295187,0.086027947064041,8234.753323754,11530.1497481343,0.552138108203133,8584.55269666383,7254.80083194524,10158.0383402529,0.48643254378805
1991,11216.0954365253,1.0827261021902,0.0796077246413913,9598.12650830775,13106.8075350283,0.635545499846349,9881.3571342033,8455.92981841054,11547.0706250521,0.559914285194693
1992,14158.8870070873,1.08623660178051,0.0828607651860749,12039.779182499,16650.976586919,0.802294967184676,12473.9504876399,10607.0208293515,14669.4763092686,0.70682022479132
1993,14923.922629582,1.08983452039958,0.0861852717601627,12608.3320209432,17664.7843889099,0.845644718428351,13147.9453059829,11107.9147169015,15562.638908821,0.745011266954058
1994,13916.164105716,1.09317859673715,0.0892666640445063,11686.5504873912,16571.1536202372,0.788541388807142,12260.1121080832,10295.8270715807,14599.1524389202,0.694703350377154
1995,16097.9492403426,1.09961018028339,0.0951701823268146,13364.234425686,19390.8578292052,0.912169413532042,14182.2603482929,11773.8631890893,17083.306078599,0.803619387247228
1996,16801.8431036801,1.09862347332299,0.0942664228664818,13973.1590718606,20203.1573697022,0.952054646298232,14802.3894018994,12310.3245566589,17798.9403120116,0.838758195718855
1997,15820.9699658252,1.10305512214417,0.0983200887629076,13054.0147043311,19174.4146401564,0.896474742203108,13938.2421740747,11500.560249209,16892.6200718366,0.789792413913879
1998,16555.6508741016,1.09612254827579,0.0919726084291656,13830.0527330604,19818.4042501832,0.938104482937798,14585.4945512895,12184.2481649363,17459.9736008257,0.826468130336919
1999,18325.7451181077,1.10070246620978,0.0961698345369673,15184.135168701,22117.3567281,1.03840457733772,16144.943959081,13377.1920206158,19485.3460307784,0.914832308313901
