"Year","Parameter","est","lo","hi"
"2022","SSB",21529,14381,32231
"2023","SSB",22973,14091,37455
"2024","SSB",21479,11767,39208
"2025","SSB",18965,10123,35531
"2026","SSB",16854,8886,31966
"2022","F",0.036,0.023,0.055
"2023","F",0.311,0.182,0.53
"2024","F",0.414,0.357,0.481
"2025","F",0.414,0.357,0.481
"2026","F",0.414,0.357,0.481
"2022","Catch",653,653,653
"2023","Catch",5699,5699,5699
"2024","Catch",7091,3793,13260
"2025","Catch",6350,3268,12339
"2026","Catch",5555,2822,10933
"2022","Rect",53612,18822,152706
"2023","Rect",53612,18822,152706
"2024","Rect",53612,18822,152706
"2025","Rect",53612,18822,152706
"2026","Rect",53612,18822,152706
