"Year","Parameter","est","lo","hi"
"2022","SSB",21529,14381,32231
"2023","SSB",22973,14091,37455
"2024","SSB",21894,11520,41611
"2025","SSB",20082,9672,41697
"2026","SSB",17500,8789,34844
"2027","SSB",15845,8113,30946
"2022","F",0.036,0.023,0.055
"2023","F",0.311,0.182,0.53
"2024","F",0.311,0.153,0.631
"2025","F",0.414,0.357,0.481
"2026","F",0.414,0.357,0.481
"2027","F",0.414,0.357,0.481
"2022","Catch",653,653,653
"2023","Catch",5699,5699,5699
"2024","Catch",5520,5520,5520
"2025","Catch",6763,3098,14765
"2026","Catch",5793,2782,12064
"2027","Catch",5170,2543,10511
"2022","Rect",53612,18822,152706
"2023","Rect",53612,18822,152706
"2024","Rect",53612,18822,152706
"2025","Rect",53612,18822,152706
"2026","Rect",53612,18822,152706
"2027","Rect",53612,18822,152706
