"Year","est","se","CV","lo","hi"
1980,71444.9296723384,1.33483452523944,0.294935636072439,40563.7563564749,125835.929272132
1981,40032.1918622242,1.29485807142982,0.262775132698118,24124.4800222957,66429.4684823397
1982,35041.8183435424,1.29683819917274,0.264381985103601,21053.9963079813,58322.8483020269
1983,48897.4760717095,1.29765621544508,0.265045358232073,29342.533015042,81484.5523035695
1984,25302.7512503084,1.36591147597905,0.319557601672195,13732.3358934129,46622.0187012818
1985,54899.6060662929,1.29169809747655,0.260207718254261,33242.802749147,90665.2417059351
1986,38609.4172068271,1.28643429032352,0.25592234607733,23566.6295185015,63254.1490874009
1987,51949.4217064318,1.28970332932652,0.258585013900442,31551.8368567544,85533.6070570154
1988,134452.055316736,1.29503270428597,0.262916905925502,81003.0266874963,223168.885387897
1989,37841.1357480662,1.29267729585916,0.261003710200698,22879.5532827578,62586.5171844376
1990,50695.0657815328,1.29162150152346,0.26014543757897,30700.4380324216,83711.8249544149
1991,35421.7140393077,1.29489536567048,0.262805410488141,21344.8766191659,58782.1540442108
1992,45141.1710518544,1.2905768397715,0.259295788291554,27380.4405525769,74422.6638727694
1993,122844.006094388,1.2941299774497,0.262183913288656,74110.769893486,203622.899276404
1994,97509.1768569908,1.29708878429498,0.264585225140334,58563.7582130053,162353.644326338
1995,40237.208539845,1.28804902585295,0.257238090765433,24499.9000084168,66083.2472998979
1996,47211.6734284897,1.28702987782126,0.256407771864911,28791.1908566299,77417.503118149
1997,34581.0199091312,1.29012013019394,0.258924201435643,20989.7219195988,56972.9767043328
1998,75418.4269969571,1.29552756459725,0.263318587607774,45403.1589962602,125276.285977455
1999,83535.4924777524,1.29981117146043,0.266791706791823,49965.4518076189,139660.070129428
2000,32815.0689349807,1.29658284828006,0.264174855023795,19723.7209622691,54595.6187104592
2001,26812.9814232929,1.30133982631235,0.268029441247214,16000.8632522078,44931.0741223073
2002,50139.1140045432,1.29309435016302,0.261342621430644,30296.0114333503,82978.9346591415
2003,39464.7211882251,1.28981413137936,0.258675189905501,23965.1329815719,64988.7576114
2004,69522.5289998138,1.29253162467871,0.260885317415249,42044.0812687048,114959.868135533
2005,66099.8168017327,1.28988223907085,0.258730616817156,40135.2630955897,108861.520872969
2006,111827.299113167,1.2959000481451,0.263620873139875,67283.9901190467,185859.144275179
2007,87101.9637307917,1.29888937198276,0.266044908473478,52171.1724458456,145420.386970128
2008,98978.3679610306,1.30583346275913,0.271662799551297,58668.4192835348,166984.511324282
2009,78989.8382699396,1.28186829859516,0.252196219329537,48551.4305040673,128511.034281236
2010,49037.9768547272,1.28912802204702,0.258116724121707,29809.6077172474,80669.4001750793
2011,66847.190729735,1.28930121620199,0.258257714681508,40624.9206895381,109995.215562558
2012,49616.5187016061,1.29082252415644,0.259495647719368,30083.7432428722,81831.5363281832
2013,69656.6171256748,1.28889708177789,0.257928706433684,42358.3073748837,114547.643900187
2014,105549.767086562,1.29383803602589,0.261946796596925,63705.4630343779,174879.088878382
2015,28974.1817529294,1.29357557904577,0.261733599270214,17494.569600238,47986.502522495
2016,54256.0640685174,1.30065127705092,0.267472040081176,32411.3475845643,90823.7610462389
2017,15227.1159879384,1.29859596100293,0.265807133066974,9124.57423985312,25411.0553780604
2018,66766.5973269651,1.29925476932248,0.266340974692279,39968.9253664318,111531.107673087
2019,38286.7830866978,1.31061676226962,0.275522116715523,22532.0497384299,65057.452657212
2020,58892.1776031089,1.42270715492065,0.363806390206361,29509.1511585094,117532.644846546
2021,79900.2711605842,1.36712907525666,0.320516038931754,43287.8968262597,147478.944453179
