"Year","mean","n","sd","se"
1982,0.43,12,1.16501268038359,0.336310192314395
1983,0.31,12,0.999790887226833,0.288614768936873
1984,0.2475,12,0.645757131379339,0.186414026816491
1985,-0.183333333333333,12,0.783225653462924,0.22609777093152
1986,0.503333333333333,12,1.19691522699231,0.345519664250587
1987,-0.1225,12,1.06897678348801,0.30858701685213
1988,-0.0133333333333333,12,0.794484776824616,0.229347999883376
1989,0.701666666666667,12,1.01942794415953,0.294283498989967
1990,0.594166666666667,12,0.944384920881247,0.272620444144706
1991,0.268333333333333,12,0.619498819917187,0.178833905220922
1992,0.580833333333333,12,1.12666408911306,0.325239907567856
1993,0.179166666666667,12,1.49891147372372,0.432698471422904
1994,0.575833333333333,12,1.03881451956574,0.299879921254687
1995,-0.0808333333333333,12,1.04264051447478,0.300984390850013
1996,-0.214166666666667,12,0.71554757586993,0.206560792773244
1997,-0.156666666666667,12,1.12996647845157,0.326193225254634
1998,-0.480833333333333,12,1.08292917869111,0.312614726415307
1999,0.390833333333333,12,0.74140478863173,0.214025127147504
2000,0.206666666666667,12,0.906886114262659,0.26179547109694
2001,-0.1825,12,0.533140353343879,0.15390436325947
2002,0.0391666666666667,12,0.980709004503962,0.283106303873526
2003,0.0975,12,0.538889852128682,0.155564100595026
2004,0.2425,12,0.822845672043063,0.23753508512779
2005,-0.2675,12,0.879215817956805,0.253807744586569
2006,-0.2075,12,1.34744286436467,0.388973250229292
2007,0.173333333333333,12,0.719334709465923,0.207654044073796
2008,-0.378333333333333,12,0.947003247890498,0.273376290046514
2009,-0.243333333333333,12,1.1935229238255,0.344540390677321
2010,-1.1525,12,0.486118672379866,0.14033037317831
2011,0.293333333333333,12,1.38638400382456,0.400214588904149
2012,-0.455833333333333,12,1.19751605290689,0.345693107752346
2013,0.21,12,0.866424208509267,0.250115125007617
2014,0.186666666666667,12,1.16771208572641,0.33708944351506
2015,0.433333333333333,12,1.49870449105724,0.4326387206738
2016,-0.0383333333333333,12,0.980007730334384,0.282903863458236
2017,0.225833333333333,12,1.03527298405549,0.298857568014591
2018,1.08333333333333,12,0.875041124574708,0.2526026144126
2019,-0.318333333333333,12,1.20409780132326,0.347593094862311
