Year,sd_bottom_temp,mean_bt,standard_err_bt,CV
1978,0.974334817,7.623564099,0.002766936,0.127805683
1979,1.102883995,7.438212617,0.003131993,0.148272717
1980,1.216878968,7.472985324,0.003455718,0.162837061
1981,1.211466896,7.529875222,0.003440349,0.160888044
1982,1.129614295,7.563437848,0.003207902,0.149351964
1983,1.175747548,8.263850593,0.003338912,0.142275993
1984,1.214314666,8.228110834,0.003448436,0.147581224
1985,1.283763995,8.349241546,0.003645659,0.153758157
1986,1.084581478,8.100641679,0.003080017,0.133888341
1987,1.229632637,7.478964053,0.003491936,0.16441216
1988,0.920177317,7.44713642,0.002613139,0.123561228
1989,0.900563052,7.696786124,0.002557438,0.117005077
1990,1.142869688,7.447402489,0.003245545,0.153458832
1991,1.368196829,8.054755773,0.002747416,0.169861988
1992,1.121859818,7.440689219,0.003185881,0.150773643
1993,1.367568177,7.510053249,0.003883648,0.182098333
1994,1.090545341,8.317774144,0.003096953,0.131110237
1995,1.249428889,8.135211657,0.003548154,0.153582837
1996,0.771885404,7.464804336,0.002192016,0.1034033
1997,0.984155718,7.881894808,0.002794826,0.124862833
1998,1.165039875,7.324738084,0.003308504,0.1590555
1999,1.475967427,8.431354525,0.004191483,0.175056976
2000,0.990440955,8.600763498,0.002812675,0.115157329
2001,1.310676889,7.796901996,0.003722087,0.168102265
2002,1.121967172,8.646211587,0.003186186,0.12976402
2003,1.111005954,7.614515509,0.003155058,0.145906322
2004,1.299985503,7.231066924,0.003691726,0.179777828
2005,1.185319011,7.400044597,0.003366093,0.16017728
2006,0.76213129,7.989086028,0.002164316,0.095396556
2007,0.850447317,7.370019852,0.002415118,0.115392812
2008,1.157390632,7.403606187,0.003286782,0.156327957
2009,1.105444587,7.859957119,0.003139264,0.140642572
2010,1.124809416,8.398338018,0.003194257,0.133932382
2011,0.976385845,8.404286369,0.002772761,0.116177127
2012,1.219933072,9.260015654,0.003464391,0.13174201
2013,1.195524109,8.826523918,0.003395074,0.135446765
2014,2.747446132,8.991456705,0.007802254,0.305561849
2015,1.917330188,7.935284835,0.005444874,0.24162084
2016,1.793671418,8.679876532,0.005093705,0.206647112
2017,2.316474921,9.114958529,0.006578373,0.25413993
2018,0.828651114,8.615756924,0.002353221,0.096178562
2019,0.826189684,8.368806553,0.002346231,0.098722521
